性别: 男, 年龄: 23, 编号: 1, 学号: 2
index: 7, useTime: 903, type: 1012, correct: True
index: 8, useTime: 1218, type: 1102, correct: True
index: 9, useTime: 934, type: 0003, correct: True
index: 10, useTime: 1159, type: 0104, correct: True
index: 11, useTime: 894, type: 1002, correct: True
index: 12, useTime: 869, type: 0004, correct: True
index: 13, useTime: 1109, type: 1102, correct: True
index: 14, useTime: 1170, type: 1011, correct: True
index: 15, useTime: 1238, type: 1004, correct: True
index: 16, useTime: 1344, type: 1001, correct: True
index: 17, useTime: 1767, type: 0101, correct: True
index: 18, useTime: 1039, type: 1002, correct: True
index: 19, useTime: 824, type: 0113, correct: True
index: 20, useTime: 1063, type: 0013, correct: True
index: 21, useTime: 934, type: 0101, correct: True
index: 22, useTime: 1096, type: 0002, correct: True
index: 23, useTime: 661, type: 0113, correct: True
index: 24, useTime: 779, type: 1012, correct: True
index: 25, useTime: 654, type: 1104, correct: True
index: 26, useTime: 950, type: 1003, correct: True
index: 27, useTime: 1393, type: 0111, correct: True
index: 28, useTime: 708, type: 0112, correct: True
index: 29, useTime: 1072, type: 0001, correct: True
index: 30, useTime: 1092, type: 1003, correct: True
index: 31, useTime: null, type: 1104, correct: null
index: 32, useTime: 1020, type: 1011, correct: True
index: 33, useTime: 1704, type: 1011, correct: True
index: 34, useTime: 873, type: 0011, correct: True
index: 35, useTime: null, type: 0013, correct: null
index: 36, useTime: 1198, type: 0014, correct: True
index: 37, useTime: 1057, type: 1103, correct: True
index: 38, useTime: null, type: 1004, correct: null
index: 39, useTime: null, type: 0111, correct: null
index: 40, useTime: null, type: 1113, correct: null
index: 41, useTime: null, type: 1011, correct: null
index: 42, useTime: null, type: 0101, correct: null
index: 43, useTime: null, type: 0104, correct: null
index: 44, useTime: null, type: 1001, correct: null
index: 45, useTime: null, type: 0011, correct: null
index: 46, useTime: null, type: 1002, correct: null
index: 47, useTime: null, type: 1101, correct: null
index: 48, useTime: null, type: 1114, correct: null
index: 49, useTime: null, type: 1103, correct: null
index: 50, useTime: null, type: 0113, correct: null
index: 51, useTime: null, type: 0003, correct: null
index: 52, useTime: null, type: 0001, correct: null
index: 53, useTime: null, type: 0114, correct: null
index: 54, useTime: null, type: 0101, correct: null
index: 55, useTime: null, type: 1013, correct: null
index: 56, useTime: null, type: 0102, correct: null
index: 57, useTime: null, type: 1013, correct: null
index: 58, useTime: null, type: 0001, correct: null
index: 59, useTime: null, type: 1114, correct: null
index: 60, useTime: null, type: 1101, correct: null
index: 61, useTime: null, type: 1111, correct: null
index: 62, useTime: null, type: 0012, correct: null
index: 63, useTime: null, type: 1111, correct: null
index: 64, useTime: null, type: 0014, correct: null
####################分隔线####################


性别: 男, 年龄: 0, 编号: 0, 学号: 0
性别: 男, 年龄: 0, 编号: 0, 学号: 0
